CLUSTER 0: THREE_AND_D_WING
================================================================================

Total players: 183

              playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster   PC1   PC2 position expected_position
           Matas Buzelis   16.26               1.00               4.82     2.05    0.71    1.51       2.06       28.98                  0.46                     0.34        0  2.01  0.84  Forward             Guard
         Jaden McDaniels   14.85               1.04               3.21     2.73    1.11    1.00       1.79       31.53                  0.51                     0.41        0  1.95 -0.21  Forward             Guard
        Jabari Smith Jr.   15.78               1.40               5.47     1.86    0.73    0.92       1.36       34.95                  0.46                     0.37        0  1.91  0.56  Forward             Guard
          Nikola Vucevic   15.08               1.95               6.44     3.33    0.61    0.64       1.33       28.22                  0.48                     0.37        0  1.90  0.78   Center             Guard
         P.J. Washington   14.16               1.50               5.54     1.75    0.98    1.07       1.68       30.80                  0.44                     0.29        0  1.89  0.96  Forward             Guard
          Andrew Wiggins   15.54               1.70               3.18     2.69    1.12    1.03       1.54       30.19                  0.48                     0.40        0  1.85  0.24  Forward             Guard
           Mikal Bridges   14.58               0.98               2.88     3.75    1.32    0.77       1.02       33.03                  0.50                     0.36        0  1.70 -0.47    Guard             Guard
           Keegan Murray   13.96               1.43               4.30     1.65    1.04    1.57       1.17       34.25                  0.39                     0.26        0  1.64  1.25  Forward             Guard
         Kadary Richmond    8.33               0.33               3.00     2.67    2.67    0.33       0.67       22.16                  0.71                     0.50        0  1.61 -0.97    Guard             Guard
          Toumani Camara   13.40               1.57               3.58     2.46    1.16    0.43       1.78       33.11                  0.44                     0.36        0  1.61 -0.44  Forward             Guard
           Peyton Watson   14.61               0.91               3.98     2.06    0.93    1.13       1.72       29.40                  0.47                     0.37        0  1.57  0.23    Guard             Guard
           Miles Bridges   17.20               0.99               4.92     3.21    0.61    0.45       1.41       30.89                  0.46                     0.30        0  1.48 -0.18  Forward             Guard
            Santi Aldama   14.00               1.56               5.12     2.93    0.86    0.72       1.28       27.68                  0.47                     0.31        0  1.46  0.58  Forward             Guard
                Naz Reid   13.58               1.17               5.03     2.21    0.99    1.01       1.64       25.88                  0.44                     0.33        0  1.45  0.50  Forward             Guard
      Bennedict Mathurin   17.53               0.96               4.40     2.28    0.81    0.23       2.19       29.77                  0.41                     0.28        0  1.42 -0.68    Guard             Guard
             CJ McCollum   18.74               0.82               2.50     3.86    0.84    0.46       1.78       29.59                  0.45                     0.35        0  1.42 -1.16    Guard             Guard
        Payton Pritchard   17.03               0.87               3.08     5.16    0.73    0.13       1.38       32.14                  0.44                     0.35        0  1.38 -1.51    Guard             Guard
      Wendell Carter Jr.   11.94               2.08               5.31     1.97    0.78    0.61       1.27       29.10                  0.52                     0.30        0  1.37  1.26  Forward             Guard
      Brandin Podziemski   13.86               0.88               4.25     3.73    1.09    0.19       1.60       28.32                  0.44                     0.37        0  1.36 -1.13    Guard             Guard
           Naji Marshall   15.24               0.88               3.82     3.26    1.11    0.08       1.61       29.33                  0.50                     0.24        0  1.33 -0.59  Forward             Guard
               Tre Jones   14.19               0.58               2.56     5.44    1.17    0.17       1.44       26.88                  0.54                     0.27        0  1.33 -1.05    Guard             Guard
            Jerami Grant   18.60               0.96               2.51     2.14    0.74    0.63       2.09       29.54                  0.45                     0.37        0  1.30 -0.68  Forward             Guard
         Kelly Oubre Jr.   14.16               1.02               4.02     1.61    1.33    0.49       1.37       31.47                  0.44                     0.33        0  1.30 -0.38    Guard             Guard
        Donte DiVincenzo   12.31               0.83               3.31     3.83    1.28    0.42       1.46       30.52                  0.40                     0.37        0  1.27 -1.27    Guard             Guard
         Kyle Filipowski   11.42               1.87               5.30     2.57    0.95    0.51       1.62       23.20                  0.49                     0.33        0  1.26  0.72   Center             Guard
           DeMar DeRozan   18.43               0.45               2.48     4.10    1.04    0.30       1.25       31.01                  0.49                     0.24        0  1.25 -1.00    Guard             Guard
           Grayson Allen   16.49               0.73               2.31     3.82    1.35    0.25       1.63       28.57                  0.40                     0.34        0  1.21 -1.64    Guard             Guard
        Collin Gillespie   12.65               1.11               2.98     4.64    1.24    0.20       1.56       28.34                  0.40                     0.38        0  1.20 -1.52    Guard             Guard
        Alondes Williams   11.00               1.25               5.00     3.00    0.75    0.75       1.25       25.02                  0.55                     0.35        0  1.19  0.73    Guard             Guard
               Bez Mbeng    7.71               1.29               2.50     3.79    2.07    0.36       1.29       31.49                  0.41                     0.12        0  1.18 -0.33    Guard             Guard
           Dillon Brooks   20.20               0.77               2.86     1.77    1.02    0.16       1.75       30.17                  0.43                     0.35        0  1.14 -1.27    Guard             Guard
          Jeremiah Fears   13.99               0.70               2.88     3.38    1.17    0.36       2.17       25.39                  0.43                     0.30        0  1.12 -1.13    Guard             Guard
           Reed Sheppard   13.47               0.35               2.54     3.38    1.49    0.65       1.52       26.00                  0.43                     0.39        0  1.11 -1.38    Guard             Guard
             Jalen Green   17.75               0.50               3.12     2.84    1.06    0.25       2.25       25.67                  0.40                     0.27        0  1.10 -1.29    Guard             Guard
              Saddiq Bey   17.65               1.68               3.88     2.53    0.94    0.10       0.94       31.00                  0.44                     0.34        0  1.10 -0.44    Guard             Guard
             Zach LaVine   19.18               0.21               2.56     2.28    0.72    0.26       1.90       31.18                  0.47                     0.37        0  1.06 -1.51    Guard             Guard
         Bilal Coulibaly   11.73               0.86               3.48     2.59    1.34    0.96       1.45       26.02                  0.42                     0.29        0  1.05 -0.00    Guard             Guard
              Coby White   17.33               0.35               3.10     4.04    0.51    0.10       2.57       24.98                  0.43                     0.34        0  1.04 -1.73    Guard             Guard
         Davion Mitchell    9.30               0.46               2.20     6.55    0.97    0.16       1.55       28.43                  0.48                     0.37        0  1.03 -1.84    Guard             Guard
           Cedric Coward   13.60               1.34               4.53     2.76    0.65    0.44       1.69       25.55                  0.48                     0.30        0  1.01  0.20    Guard             Guard
            John Collins   13.49               1.60               3.66     1.03    0.88    0.75       1.38       27.02                  0.54                     0.37        0  1.00  0.78  Forward             Guard
      Kristaps Porzingis   16.81               1.23               3.90     2.58    0.58    1.23       1.32       23.82                  0.43                     0.31        0  0.97  0.74  Forward             Guard
           Ajay Mitchell   13.58               0.70               2.63     3.61    1.25    0.32       1.42       25.66                  0.49                     0.36        0  0.96 -1.08    Guard             Guard
             Ayo Dosunmu   14.81               0.68               2.75     3.61    0.84    0.26       1.39       27.06                  0.51                     0.41        0  0.90 -1.16    Guard             Guard
            Jaylon Tyson   13.14               1.80               3.31     2.22    0.82    0.43       1.46       26.74                  0.48                     0.42        0  0.89 -0.04    Guard             Guard
            Myles Turner   11.92               1.06               4.27     1.45    0.70    1.62       1.17       26.73                  0.42                     0.37        0  0.88  1.08  Forward             Guard
          Quentin Grimes   13.32               0.62               3.03     3.23    0.85    0.38       1.77       29.20                  0.44                     0.28        0  0.86 -0.82    Guard             Guard
          Bub Carrington   10.59               0.41               2.98     4.59    0.62    0.20       2.32       27.35                  0.42                     0.40        0  0.86 -1.80    Guard             Guard
            Trevon Scott    8.00               1.80               3.80     1.80    1.40    1.00       0.40       31.06                  0.43                     0.38        0  0.85  0.70  Forward             Guard
         Scoot Henderson   14.21               0.62               2.07     3.72    0.86    0.31       2.41       24.66                  0.42                     0.34        0  0.85 -1.48    Guard             Guard
           Collin Sexton   15.39               0.60               1.67     3.31    1.12    0.15       2.10       23.45                  0.49                     0.37        0  0.83 -1.55    Guard             Guard
            Aaron Gordon   16.17               1.42               4.39     2.67    0.58    0.28       1.06       27.70                  0.45                     0.34        0  0.80 -0.10  Forward             Guard
              Tari Eason   10.29               2.07               4.17     1.47    1.22    0.47       1.34       25.65                  0.41                     0.35        0  0.76  0.37  Forward             Guard
           Jarace Walker   11.63               0.64               4.50     2.53    0.83    0.34       1.83       25.52                  0.42                     0.38        0  0.76 -0.87  Forward             Guard
              Kyle Kuzma   12.99               0.83               3.71     2.67    0.67    0.41       1.72       25.96                  0.49                     0.31        0  0.75 -0.23  Forward             Guard
           Tobias Harris   13.10               0.87               4.27     2.52    0.89    0.42       1.02       27.59                  0.47                     0.34        0  0.73 -0.28  Forward             Guard
           Royce O'Neale    9.81               0.76               4.01     2.67    1.08    0.41       1.32       28.17                  0.42                     0.40        0  0.71 -0.88  Forward             Guard
               Kris Dunn    7.31               0.72               2.62     3.60    1.59    0.17       1.35       27.05                  0.48                     0.31        0  0.68 -1.06    Guard             Guard
       De'Anthony Melton   12.46               0.79               2.44     2.56    1.60    0.38       1.88       22.84                  0.38                     0.25        0  0.64 -1.00    Guard             Guard
              Ace Bailey   13.77               1.44               2.77     1.83    0.85    0.68       1.46       27.40                  0.44                     0.31        0  0.63  0.16  Forward             Guard
         Christian Braun   11.95               1.39               3.41     2.73    0.68    0.27       0.98       31.61                  0.51                     0.23        0  0.63  0.39    Guard             Guard
        Lucas Williamson    9.67               1.83               3.50     2.50    1.33    0.00       1.33       31.28                  0.34                     0.24        0  0.63 -0.49    Guard             Guard
           Herbert Jones    8.86               0.84               2.55     2.77    1.57    0.48       1.30       28.18                  0.38                     0.30        0  0.57 -0.92  Forward             Guard
           DeJon Jarreau    8.00               1.09               3.55     3.27    0.91    0.73       2.36       20.80                  0.44                     0.06        0  0.56  0.86    Guard             Guard
        Jonathan Kuminga   12.17               1.36               4.25     2.31    0.61    0.31       1.86       22.88                  0.44                     0.27        0  0.49  0.16  Forward             Guard
             Leaky Black    7.57               1.07               4.21     1.50    1.21    0.57       1.00       30.07                  0.41                     0.34        0  0.48 -0.06  Forward             Guard
           Cason Wallace    8.57               0.82               2.27     2.60    1.95    0.36       0.95       26.39                  0.42                     0.31        0  0.47 -0.99    Guard             Guard
           Devin Vassell   13.83               0.56               3.45     2.50    0.83    0.38       0.86       30.27                  0.42                     0.36        0  0.45 -0.89    Guard             Guard
        Brandon Williams   13.02               0.45               2.44     3.88    0.94    0.30       1.89       21.96                  0.46                     0.22        0  0.45 -0.82    Guard             Guard
            Marcus Smart    9.41               0.59               2.20     2.87    1.41    0.38       1.46       28.36                  0.39                     0.31        0  0.44 -1.22    Guard             Guard
            Bobby Portis   13.66               1.33               5.06     1.57    0.61    0.18       0.99       23.99                  0.49                     0.44        0  0.44 -0.12  Forward             Guard
           Aaron Nesmith   13.80               1.07               3.09     1.91    0.58    0.51       1.40       29.49                  0.41                     0.38        0  0.44 -0.49    Guard             Guard
           Jalen Slawson    7.75               0.58               4.00     2.67    1.25    1.08       1.42       23.40                  0.32                     0.28        0  0.40 -0.18  Forward             Guard
            Dylan Harper   11.82               0.76               2.63     3.90    0.78    0.35       1.46       22.46                  0.49                     0.31        0  0.36 -0.57    Guard             Guard
         Cameron Johnson   12.22               0.80               3.02     2.44    0.74    0.39       0.87       30.30                  0.46                     0.41        0  0.36 -0.74  Forward             Guard
             Cam Spencer   11.08               0.56               1.99     5.56    0.72    0.15       1.29       23.60                  0.47                     0.44        0  0.35 -1.82    Guard             Guard
         Dariq Whitehead   14.40               0.40               3.60     1.60    0.80    0.00       2.00       28.51                  0.35                     0.29        0  0.31 -1.44    Guard             Guard
            Noah Clowney   12.26               0.79               3.35     1.64    0.76    0.68       1.55       26.76                  0.39                     0.31        0  0.30 -0.25  Forward             Guard
       Julian Champagnie   11.16               0.90               4.89     1.56    0.77    0.46       0.84       27.46                  0.43                     0.35        0  0.29 -0.04  Forward             Guard
           Pelle Larsson   11.43               0.99               2.50     3.37    0.70    0.23       1.44       26.20                  0.47                     0.29        0  0.26 -0.54    Guard             Guard
       Derrick Jones Jr.   10.29               1.22               2.22     1.41    0.92    1.02       0.82       26.93                  0.51                     0.33        0  0.22  0.76  Forward             Guard
         Dennis Schroder   10.80               0.47               2.23     4.87    0.79    0.16       1.77       24.04                  0.39                     0.28        0  0.19 -1.53    Guard             Guard
              Egor Demin   10.31               0.40               2.77     3.33    0.81    0.33       1.65       24.98                  0.39                     0.37        0  0.16 -1.40    Guard             Guard
          Jordan Goodwin    8.70               1.97               2.90     2.16    1.51    0.20       0.97       22.26                  0.41                     0.35        0  0.16 -0.25    Guard             Guard
         De'Andre Hunter   13.67               0.67               3.44     2.00    0.67    0.13       1.67       25.95                  0.40                     0.27        0  0.12 -0.79    Guard             Guard
            Jake LaRavia    8.30               1.43               2.54     1.75    1.26    0.46       1.07       24.96                  0.47                     0.28        0  0.11  0.23  Forward             Guard
            Max Christie   12.28               0.20               3.07     1.97    0.62    0.33       1.25       29.17                  0.44                     0.41        0  0.10 -1.21    Guard             Guard
             Jalen Smith   10.21               1.85               4.85     1.23    0.45    0.79       1.00       20.48                  0.48                     0.36        0  0.10  1.37  Forward             Guard
              GG Jackson   12.47               0.89               3.38     1.47    0.56    0.80       1.55       21.23                  0.47                     0.29        0  0.09  0.53  Forward             Guard
   Sandro Mamukelashvili   11.19               1.37               3.59     1.87    0.81    0.52       0.85       21.74                  0.50                     0.34        0  0.08  0.49  Forward             Guard
              Al Horford    8.34               1.00               3.89     2.59    0.68    1.16       0.93       21.43                  0.43                     0.35        0  0.06  0.63  Forward             Guard
            Jock Landale   10.56               2.69               3.00     1.69    0.51    0.53       0.88       21.94                  0.51                     0.37        0 -0.00  1.30   Center             Guard
        Brice Sensabaugh   14.88               0.76               2.34     1.92    0.72    0.16       1.64       23.44                  0.43                     0.32        0 -0.02 -0.93  Forward             Guard
          Chaney Johnson    7.69               1.75               2.38     2.12    0.88    0.56       1.19       19.30                  0.56                     0.35        0 -0.05  0.75    Guard             Guard
             Moses Moody   12.13               0.85               2.48     1.63    0.97    0.57       0.95       25.49                  0.42                     0.37        0 -0.05 -0.52    Guard             Guard
               Adama Bal   10.38               0.75               2.38     2.38    1.12    0.12       0.75       29.95                  0.40                     0.36        0 -0.07 -1.26    Guard             Guard
              Gui Santos    9.22               1.06               2.81     2.34    0.91    0.33       1.51       20.37                  0.47                     0.33        0 -0.07 -0.26  Forward             Guard
          Keldon Johnson   13.12               1.67               3.69     1.36    0.57    0.14       0.85       23.14                  0.51                     0.33        0 -0.08  0.45    Guard             Guard
             Cormac Ryan   13.50               0.50               1.30     1.50    1.00    0.30       1.50       23.03                  0.47                     0.43        0 -0.10 -1.32    Guard             Guard
            Nolan Traore    8.91               0.25               1.52     3.80    0.80    0.41       2.30       21.99                  0.37                     0.28        0 -0.12 -1.46    Guard             Guard
         Khris Middleton   10.19               0.82               2.89     2.82    0.66    0.15       1.73       22.92                  0.41                     0.32        0 -0.13 -0.93  Forward             Guard
                Jay Huff    9.51               0.89               3.07     1.46    0.49    1.83       0.90       20.72                  0.45                     0.29        0 -0.14  1.73   Center             Guard
            Jaylen Wells   12.54               0.88               2.30     1.61    0.88    0.13       1.07       26.20                  0.44                     0.35        0 -0.19 -0.84  Forward             Guard
             Javon Small    9.45               0.88               2.25     3.75    0.80    0.22       1.35       19.89                  0.43                     0.42        0 -0.21 -1.21    Guard             Guard
