CLUSTER 1: LOW_USAGE_ROTATION_GUARD
================================================================================

Total players: 146

              playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster   PC1   PC2 position expected_position
        D'Angelo Russell   10.15               0.31               2.04     4.00    0.46    0.08       1.88       18.83                  0.37                     0.22        1 -0.74 -1.28    Guard             Guard
          Jahmai Mashack    6.03               0.77               1.90     1.93    1.23    0.40       1.53       21.00                  0.31                     0.15        1 -0.87 -0.46    Guard             Guard
        Craig Porter Jr.    4.48               1.29               2.10     3.19    0.90    0.59       0.90       17.56                  0.41                     0.22        1 -0.96  0.36    Guard             Guard
            Cole Anthony    6.69               0.46               2.03     3.46    0.57    0.31       1.86       14.83                  0.40                     0.26        1 -0.98 -0.77    Guard             Guard
            Devin Carter    8.95               0.86               2.35     2.51    0.86    0.22       1.41       17.75                  0.34                     0.15        1 -0.98 -0.32    Guard             Guard
              Cam Thomas   13.50               0.26               1.43     2.57    0.21    0.10       1.76       20.77                  0.38                     0.26        1 -1.00 -1.26    Guard             Guard
          Gary Payton II    7.57               1.39               2.26     1.69    0.92    0.29       0.86       15.49                  0.50                     0.20        1 -1.05  0.74    Guard             Guard
              Caleb Love   10.60               0.52               1.85     2.56    0.56    0.08       1.29       20.88                  0.35                     0.26        1 -1.10 -1.11    Guard             Guard
         Quenton Jackson    8.90               0.58               1.79     2.75    0.58    0.12       1.27       17.87                  0.44                     0.26        1 -1.11 -0.68    Guard             Guard
              Kevin Love    6.70               1.49               4.32     1.81    0.38    0.24       0.81       16.37                  0.38                     0.37        1 -1.14  0.19  Forward             Guard
             Pat Spencer    7.22               0.77               1.62     3.52    0.74    0.08       1.29       18.45                  0.36                     0.25        1 -1.15 -1.05    Guard             Guard
         Elijah Harkless    6.85               0.38               1.65     2.88    1.19    0.23       1.00       20.76                  0.30                     0.19        1 -1.18 -1.12    Guard             Guard
           Ryan Nembhard    6.47               0.19               1.92     4.97    0.39    0.03       1.37       18.98                  0.35                     0.26        1 -1.19 -1.54    Guard             Guard
       Jarred Vanderbilt    4.44               1.25               3.25     1.28    0.83    0.28       0.86       17.18                  0.44                     0.23        1 -1.23  0.61  Forward             Guard
        Tristan Vukcevic    9.00               0.65               2.35     1.12    0.47    0.65       1.27       13.51                  0.48                     0.28        1 -1.24  0.45  Forward             Guard
           Ousmane Dieng    7.50               0.52               2.57     2.29    0.43    0.30       1.23       18.70                  0.38                     0.30        1 -1.24 -0.60  Forward             Guard
              Sion James    5.35               0.60               2.88     1.99    0.63    0.25       0.79       22.29                  0.35                     0.34        1 -1.30 -0.78    Guard             Guard
              Luka Garza    7.79               2.24               1.72     0.96    0.38    0.41       0.65       15.70                  0.55                     0.34        1 -1.31  1.34   Center             Guard
         Trendon Watford    6.62               0.73               2.63     2.52    0.31    0.40       1.21       16.30                  0.48                     0.09        1 -1.32  0.87    Guard             Guard
        Patrick Williams    6.93               0.69               2.28     1.41    0.65    0.35       1.03       20.06                  0.37                     0.34        1 -1.32 -0.60  Forward             Guard
          Sharife Cooper    7.82               0.40               1.70     2.95    0.40    0.12       1.45       16.60                  0.43                     0.26        1 -1.35 -0.77    Guard             Guard
            Quinten Post    7.66               1.01               3.00     1.40    0.39    0.52       0.84       17.10                  0.40                     0.31        1 -1.37  0.27   Center             Guard
            Bones Hyland    8.51               0.32               1.46     2.65    0.62    0.24       0.99       16.36                  0.42                     0.36        1 -1.39 -1.09    Guard             Guard
            Nikola Jovic    7.32               0.53               2.72     2.17    0.55    0.36       1.38       16.99                  0.32                     0.19        1 -1.40 -0.35  Forward             Guard
           Johnny Furphy    5.14               0.91               3.46     1.17    0.57    0.20       0.83       18.16                  0.43                     0.28        1 -1.41  0.22    Guard             Guard
           Spencer Jones    5.50               1.17               2.09     0.80    0.81    0.45       0.48       21.92                  0.41                     0.27        1 -1.41  0.36  Forward             Guard
            Cam Whitmore    9.19               0.90               1.86     0.71    0.71    0.38       0.86       16.71                  0.41                     0.30        1 -1.50 -0.07  Forward             Guard
            Jordan Walsh    5.30               1.25               2.69     0.76    0.72    0.45       0.51       17.38                  0.44                     0.30        1 -1.51  0.63    Guard             Guard
           Killian Hayes    5.36               0.18               2.18     3.55    0.86    0.18       1.23       17.07                  0.25                     0.17        1 -1.58 -1.25    Guard             Guard
            Bradley Beal    8.17               0.33               0.50     1.67    0.50    0.00       1.50       20.03                  0.41                     0.32        1 -1.60 -1.34    Guard             Guard
     Kasparas Jakucionis    6.15               0.79               1.81     2.54    0.63    0.13       0.94       17.57                  0.34                     0.31        1 -1.63 -0.92    Guard             Guard
          Keshon Gilbert    2.00               0.67               1.00     1.00    0.67    1.33       2.00       15.92                  0.33                     0.00        1 -1.65  1.44    Guard             Guard
            Nikola Topic    3.78               0.67               1.00     3.33    0.56    0.00       2.22       13.25                  0.33                     0.24        1 -1.66 -1.25    Guard             Guard
           Cameron Payne    7.41               0.14               1.86     2.64    1.09    0.32       0.50       16.83                  0.31                     0.22        1 -1.67 -1.03    Guard             Guard
          Bryce McGowens    8.10               0.29               1.81     1.48    0.64    0.19       0.40       20.76                  0.42                     0.27        1 -1.70 -0.55    Guard             Guard
            Anthony Gill    5.69               1.06               1.76     1.28    0.56    0.39       0.65       16.86                  0.50                     0.14        1 -1.73  1.09  Forward             Guard
          Leonard Miller    7.64               1.16               2.71     0.84    0.38    0.31       0.73       14.98                  0.46                     0.22        1 -1.73  0.80  Forward             Guard
        MarJon Beauchamp    7.08               0.46               1.92     1.15    0.69    0.31       1.00       14.72                  0.40                     0.32        1 -1.74 -0.53  Forward             Guard
          Tidjane Salaun    6.17               0.72               3.42     0.75    0.44    0.19       0.69       15.66                  0.43                     0.35        1 -1.74 -0.06  Forward             Guard
       Bogdan Bogdanovic    7.00               0.27               2.27     2.32    0.45    0.05       1.18       19.40                  0.29                     0.25        1 -1.76 -1.23    Guard             Guard
       Simone Fontecchio    8.53               0.80               2.21     1.44    0.53    0.13       0.70       16.54                  0.37                     0.34        1 -1.76 -0.63  Forward             Guard
           Corey Kispert    8.96               0.46               1.81     1.58    0.28    0.16       0.75       18.23                  0.43                     0.33        1 -1.77 -0.61  Forward             Guard
            Drake Powell    6.45               0.34               1.44     1.47    0.56    0.23       0.94       20.67                  0.39                     0.22        1 -1.77 -0.48    Guard             Guard
            Sidy Cissoko    5.18               0.84               1.41     1.49    0.70    0.34       0.95       19.16                  0.35                     0.22        1 -1.80 -0.24    Guard             Guard
          Rob Dillingham    6.00               0.30               1.67     2.16    0.70    0.09       1.48       14.49                  0.33                     0.25        1 -1.81 -1.13    Guard             Guard
        Kenrich Williams    6.36               1.02               2.22     1.29    0.56    0.09       0.76       14.75                  0.43                     0.34        1 -1.82 -0.28    Guard             Guard
             Buddy Hield    7.18               0.54               1.72     1.36    0.76    0.18       0.94       15.75                  0.37                     0.26        1 -1.83 -0.62    Guard             Guard
           Tyrese Martin    6.44               0.76               1.82     1.73    0.56    0.13       0.89       17.02                  0.38                     0.26        1 -1.85 -0.41  Forward             Guard
       Baylor Scheierman    5.22               0.75               2.70     1.43    0.53    0.07       0.57       18.09                  0.38                     0.33        1 -1.89 -0.50    Guard             Guard
            Jared McCain    8.32               0.33               1.68     1.33    0.52    0.08       0.83       16.99                  0.40                     0.30        1 -1.92 -0.80    Guard             Guard
         Jordan Clarkson    8.73               0.86               0.89     1.35    0.39    0.13       0.89       17.62                  0.42                     0.24        1 -1.95 -0.24    Guard             Guard
             Mike Conley    4.54               0.33               1.39     2.91    0.65    0.26       0.63       18.15                  0.33                     0.31        1 -1.96 -1.19    Guard             Guard
          Mouhamed Gueye    4.44               1.16               2.42     0.90    0.79    0.51       0.43       15.12                  0.38                     0.19        1 -1.97  0.80  Forward             Guard
            Kevon Looney    2.81               2.29               3.33     1.62    0.43    0.48       0.43       14.40                  0.37                     0.05        1 -1.99  2.16  Forward             Guard
            Jevon Carter    6.46               0.27               1.40     1.67    0.75    0.19       0.67       16.23                  0.37                     0.34        1 -1.99 -1.10    Guard             Guard
          Ethan Thompson    6.61               0.48               1.65     1.65    0.61    0.29       0.71       19.62                  0.30                     0.22        1 -2.00 -0.62    Guard             Guard
           Nate Williams    7.92               1.38               0.77     1.00    0.38    0.00       1.15       17.20                  0.38                     0.28        1 -2.02 -0.30    Guard             Guard
               Kam Jones    4.28               0.39               1.25     3.19    0.50    0.00       0.97       16.38                  0.40                     0.18        1 -2.04 -0.69    Guard             Guard
         Nae'Qwan Tomlin    5.52               1.27               1.56     0.76    0.65    0.54       0.44       15.13                  0.42                     0.15        1 -2.10  1.13  Forward             Guard
             Jaden Hardy    9.23               0.27               1.25     0.98    0.29    0.11       1.11       15.56                  0.39                     0.37        1 -2.10 -1.13    Guard             Guard
              Kobe Brown    5.55               1.10               1.87     1.30    0.35    0.20       0.85       15.25                  0.40                     0.26        1 -2.10  0.13  Forward             Guard
            Drew Eubanks    5.21               0.93               2.10     0.45    0.36    0.62       0.71       12.91                  0.52                     0.02        1 -2.15  2.06  Forward             Guard
          Gary Trent Jr.    8.14               0.12               0.91     1.22    0.52    0.05       0.63       20.99                  0.35                     0.32        1 -2.15 -1.38    Guard             Guard
              Chris Paul    2.94               0.38               1.38     3.31    0.69    0.00       1.00       14.06                  0.32                     0.28        1 -2.18 -1.38    Guard             Guard
           Hugo Gonzalez    3.91               0.84               2.49     0.54    0.57    0.28       0.51       14.45                  0.43                     0.29        1 -2.19  0.33    Guard             Guard
           Nicolas Batum    3.89               0.32               2.18     0.85    0.64    0.30       0.51       17.22                  0.36                     0.36        1 -2.19 -0.70    Guard             Guard
           Thomas Bryant    6.17               0.98               2.43     0.55    0.30    0.45       0.47       12.02                  0.47                     0.29        1 -2.20  0.78  Forward             Guard
              Pete Nance    5.40               0.57               2.09     1.02    0.30    0.30       0.55       15.50                  0.43                     0.35        1 -2.21 -0.17  Forward             Guard
             Josh Okogie    4.55               1.03               1.52     0.87    0.81    0.19       0.52       17.09                  0.34                     0.28        1 -2.21 -0.31    Guard             Guard
  Jeremiah Robinson-Earl    4.59               1.64               3.05     0.68    0.41    0.05       0.55       16.22                  0.33                     0.22        1 -2.25  0.53  Forward             Guard
            Rayan Rupert    4.94               0.73               2.06     1.00    0.84    0.13       0.78       16.17                  0.28                     0.21        1 -2.26 -0.55    Guard             Guard
      Guerschon Yabusele    5.57               0.84               2.66     0.94    0.39    0.24       0.61       14.83                  0.34                     0.29        1 -2.27 -0.12  Forward             Guard
              KJ Simpson    4.55               0.45               1.40     2.15    0.80    0.00       1.25       12.73                  0.29                     0.21        1 -2.27 -1.10    Guard             Guard
           Jalen Pickett    5.08               0.37               1.90     2.22    0.27    0.08       0.65       15.64                  0.38                     0.30        1 -2.31 -0.75    Guard             Guard
           Dwight Powell    3.27               1.52               2.44     1.06    0.53    0.34       0.66       14.01                  0.38                     0.02        1 -2.31  1.57  Forward             Guard
          Isaiah Stevens    3.33               0.67               0.33     3.33    1.67    0.00       0.67       14.02                  0.20                     0.00        1 -2.32 -1.04    Guard             Guard
         John Poulakidas    7.25               0.33               2.00     0.58    0.50    0.25       0.25       17.87                  0.35                     0.32        1 -2.37 -0.62    Guard             Guard
          Justin Edwards    5.86               0.41               1.06     1.24    0.79    0.17       0.56       14.98                  0.37                     0.24        1 -2.38 -0.60  Forward             Guard
           Moritz Wagner    6.86               0.75               2.44     0.75    0.42    0.06       0.53       11.67                  0.44                     0.24        1 -2.39  0.21  Forward             Guard
            Caleb Martin    3.91               0.48               1.98     1.40    0.69    0.26       0.69       14.57                  0.32                     0.17        1 -2.42 -0.18  Forward             Guard
            Blake Wesley    4.93               0.27               1.03     2.07    0.53    0.17       1.03       11.76                  0.40                     0.15        1 -2.43 -0.28    Guard             Guard
       Haywood Highsmith    5.50               1.00               1.17     1.17    0.67    0.00       0.00       13.17                  0.43                     0.49        1 -2.46 -0.92  Forward             Guard
           James Wiseman    3.25               1.25               0.75     0.75    0.00    0.25       1.25       14.37                  0.57                     0.00        1 -2.46  1.95   Center             Guard
            Jalen Wilson    6.30               0.26               1.74     0.89    0.40    0.04       0.68       15.51                  0.38                     0.32        1 -2.47 -0.86  Forward             Guard
            E.J. Liddell    5.20               0.52               2.08     0.92    0.20    0.40       0.56       12.68                  0.44                     0.27        1 -2.49  0.34  Forward             Guard
        Julian Strawther    6.93               0.21               1.71     1.04    0.43    0.11       0.59       14.54                  0.38                     0.27        1 -2.49 -0.64    Guard             Guard
          Jamaree Bouyea    5.24               0.40               1.31     1.62    0.62    0.31       0.58       13.27                  0.36                     0.21        1 -2.49 -0.31    Guard             Guard
                Tre Mann    5.60               0.38               1.38     1.65    0.48    0.10       1.02       12.58                  0.33                     0.27        1 -2.50 -0.92    Guard             Guard
                LJ Cryer    8.22               0.22               1.33     1.00    0.17    0.00       0.78       16.07                  0.37                     0.36        1 -2.50 -1.17    Guard             Guard
         Larry Nance Jr.    3.56               0.82               1.74     0.91    0.62    0.15       0.59       12.43                  0.38                     0.34        1 -2.51 -0.38  Forward             Guard
           Tyson Etienne    7.35               0.22               0.91     1.57    0.39    0.00       0.65       14.75                  0.37                     0.37        1 -2.52 -1.39    Guard             Guard
              Josh Green    4.32               0.79               0.96     0.82    0.61    0.11       0.61       15.56                  0.37                     0.33        1 -2.53 -0.66    Guard             Guard
              Noah Penda    3.85               1.14               2.03     1.19    0.51    0.31       0.71       12.62                  0.30                     0.20        1 -2.56  0.21    Guard             Guard
             Tyler Kolek    4.42               0.26               1.32     2.74    0.35    0.06       0.89       11.55                  0.37                     0.24        1 -2.56 -0.83    Guard             Guard
             Mac McClung    5.40               0.20               0.80     1.00    1.00    0.30       0.90       11.55                  0.31                     0.13        1 -2.59 -0.48    Guard             Guard
                 PJ Hall    4.53               1.74               2.21     0.53    0.16    0.53       0.84       11.03                  0.35                     0.13        1 -2.60  1.50   Center             Guard
         Branden Carlson    5.27               0.68               2.10     0.68    0.15    0.54       0.37       10.66                  0.47                     0.24        1 -2.62  0.94   Center             Guard
           Marcus Sasser    5.24               0.19               0.86     2.03    0.54    0.11       0.84       11.95                  0.34                     0.32        1 -2.62 -1.31    Guard             Guard
        Christian Koloko    2.65               1.08               1.73     0.65    0.54    0.85       0.50       12.73                  0.35                     0.04        1 -2.65  1.65   Center             Guard
            Ochai Agbaji    5.06               0.74               1.53     0.76    0.39    0.27       0.50       15.50                  0.37                     0.16        1 -2.65  0.37    Guard             Guard
             Gradey Dick    6.03               0.56               1.40     0.68    0.60    0.09       0.57       13.96                  0.35                     0.23        1 -2.66 -0.39    Guard             Guard
             Cody Martin    1.75               0.25               3.25     0.50    1.00    0.50       1.00       13.58                  0.13                     0.00        1 -2.69  0.06  Forward             Guard
