CLUSTER 2: INTERIOR_ANCHOR
================================================================================

Total players: 59

          playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster   PC1  PC2 position expected_position
   Victor Wembanyama   25.00               2.03               9.47     3.11    1.03    3.08       2.42       28.93                  0.51                     0.34        2  5.43 3.48  Forward            Center
      Walker Kessler   14.40               4.60               6.20     3.00    1.40    1.80       3.20       30.56                  0.75                     0.45        2  5.34 3.70   Center            Center
       Anthony Davis   20.35               3.10               7.95     2.80    1.10    1.65       2.05       31.09                  0.49                     0.17        2  4.02 3.18  Forward            Center
    Domantas Sabonis   15.84               3.37               8.00     4.11    0.95    0.21       2.68       29.44                  0.56                     0.14        2  3.59 2.10  Forward            Center
         Evan Mobley   18.15               2.40               6.62     3.60    0.74    1.74       1.88       31.73                  0.55                     0.24        2  3.51 2.64   Center            Center
           Zach Edey   13.64               3.91               7.18     1.09    0.64    1.91       2.36       25.56                  0.64                     0.09        2  3.16 5.34   Center            Center
        Julian Reese   11.67               4.42               6.75     2.00    1.25    0.67       2.67       31.73                  0.47                     0.00        2  3.05 3.51  Forward            Center
         Jalen Duren   19.50               3.79               6.74     1.97    0.81    0.84       1.86       28.03                  0.65                     0.00        2  3.04 4.17   Center            Center
         Rudy Gobert   10.91               3.93               7.54     1.68    0.76    1.63       1.39       31.13                  0.68                     0.00        2  2.99 5.65   Center            Center
       Chet Holmgren   17.12               1.88               7.03     1.67    0.62    1.90       1.55       28.76                  0.54                     0.32        2  2.74 2.69  Forward            Center
     Donovan Clingan   12.12               4.49               7.12     2.12    0.58    1.70       1.24       27.04                  0.51                     0.29        2  2.55 4.34   Center            Center
           Alex Sarr   16.31               2.19               5.21     2.71    0.81    1.98       1.71       26.98                  0.47                     0.29        2  2.48 2.35   Center            Center
         Ivica Zubac   14.10               3.38               7.23     2.19    0.38    0.83       1.79       29.95                  0.60                     0.00        2  2.35 4.02   Center            Center
     Zion Williamson   21.00               2.02               3.68     3.21    0.97    0.55       2.03       29.49                  0.60                     0.02        2  2.34 1.68  Forward            Center
       Jarrett Allen   15.36               2.57               5.93     1.79    0.98    0.84       1.34       26.93                  0.64                     0.02        2  2.05 3.34   Center            Center
  Isaiah Hartenstein    9.19               3.17               6.26     3.53    1.02    0.77       1.74       23.99                  0.57                     0.00        2  2.01 3.34  Forward            Center
      Ausar Thompson    9.92               2.07               3.67     3.11    2.01    0.94       1.51       25.81                  0.53                     0.05        2  1.92 1.80    Guard            Center
         Derik Queen   11.48               1.61               5.26     3.68    1.04    0.91       2.33       24.57                  0.46                     0.14        2  1.89 1.18   Center            Center
         Nic Claxton   11.74               2.43               4.49     3.67    0.65    1.12       1.39       27.64                  0.57                     0.04        2  1.61 2.90   Center            Center
    Andersson Garcia    5.20               3.40               5.00     2.80    1.60    0.80       1.40       33.69                  0.32                     0.03        2  1.57 2.16  Forward            Center
       Neemias Queta   10.21               3.03               5.34     1.66    0.79    1.32       0.99       25.15                  0.66                     0.01        2  1.51 4.48   Center            Center
