CLUSTER 3: PRIMARY_SHOT_CREATOR
================================================================================

Total players: 79

              playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster  PC1   PC2 position expected_position
            Nikola Jokic   27.75               2.94              10.00    10.88    1.44    0.81       3.80       34.92                  0.59                     0.39        3 7.95  0.05   Center             Guard
             Luka Doncic   33.48               0.64               7.09     8.28    1.64    0.53       3.98       35.54                  0.47                     0.36        3 6.49 -2.32    Guard             Guard
           Jalen Johnson   22.51               1.40               8.88     7.86    1.24    0.43       3.39       34.95                  0.49                     0.33        3 5.56 -0.90  Forward             Guard
         Cade Cunningham   24.19               0.87               4.63     9.84    1.46    0.86       3.68       33.93                  0.48                     0.33        3 5.42 -1.92    Guard             Guard
   Giannis Antetokounmpo   27.58               2.72               7.06     5.44    0.94    0.67       3.19       28.69                  0.61                     0.23        3 4.96  1.26  Forward             Guard
          Alperen Sengun   20.36               2.99               5.90     6.18    1.18    1.07       3.15       33.09                  0.52                     0.20        3 4.77  1.37   Center             Guard
             Josh Giddey   17.02               1.24               7.06     9.15    1.02    0.50       3.63       31.85                  0.44                     0.33        3 4.65 -1.38    Guard             Guard
            Tyrese Maxey   28.39               0.35               3.83     6.67    1.87    0.80       2.43       37.97                  0.46                     0.35        3 4.64 -2.18    Guard             Guard
            Jaylen Brown   28.70               1.14               5.79     5.13    1.01    0.38       3.65       34.21                  0.48                     0.34        3 4.58 -1.34    Guard             Guard
             Deni Avdija   24.20               1.14               5.75     6.65    0.78    0.63       3.85       33.12                  0.45                     0.29        3 4.43 -1.05  Forward             Guard
 Shai Gilgeous-Alexander   31.13               0.56               3.74     6.59    1.40    0.76       2.22       33.01                  0.57                     0.42        3 4.41 -1.68    Guard             Guard
          Scottie Barnes   18.10               1.89               5.56     5.85    1.43    1.43       2.65       33.32                  0.51                     0.23        3 4.33  0.97    Guard             Guard
            James Harden   23.60               0.57               4.23     7.96    1.13    0.40       3.50       34.62                  0.44                     0.38        3 4.27 -2.51    Guard             Guard
        Kevin Porter Jr.   17.39               0.89               4.32     7.37    2.18    0.50       2.89       32.99                  0.46                     0.30        3 4.24 -1.84    Guard             Guard
            LeBron James   20.98               0.73               5.37     7.22    1.17    0.59       2.97       33.23                  0.52                     0.32        3 4.15 -1.23  Forward             Guard
            Kevin Durant   25.97               0.53               4.94     4.77    0.79    0.91       3.15       36.22                  0.53                     0.42        3 4.14 -1.13  Forward             Guard
            Jayson Tatum   21.75               0.50               9.50     5.31    1.38    0.19       2.44       32.42                  0.41                     0.33        3 4.09 -1.34    Guard             Guard
           Amen Thompson   18.27               2.97               4.80     5.32    1.51    0.61       2.41       37.18                  0.53                     0.17        3 4.07  1.01    Guard             Guard
         Anthony Edwards   28.80               0.59               4.36     3.70    1.36    0.80       2.85       34.87                  0.48                     0.39        3 4.02 -1.40    Guard             Guard
             Joel Embiid   26.87               1.97               5.74     3.95    0.55    1.21       2.87       31.45                  0.49                     0.37        3 3.93  0.60  Forward             Guard
          Paolo Banchero   22.20               1.14               7.23     5.10    0.72    0.56       3.04       34.52                  0.45                     0.30        3 3.91 -0.46  Forward             Guard
        Donovan Mitchell   27.89               0.71               3.80     5.69    1.49    0.29       2.83       33.25                  0.48                     0.35        3 3.91 -2.10    Guard             Guard
      Karl-Anthony Towns   20.05               3.11               8.75     3.01    0.87    0.53       2.49       30.77                  0.50                     0.36        3 3.88  1.40  Forward             Guard
           Kawhi Leonard   27.89               1.09               5.26     3.60    1.88    0.42       2.05       31.87                  0.51                     0.38        3 3.88 -1.16  Forward             Guard
           Austin Reaves   23.27               0.65               4.06     5.49    1.10    0.39       2.96       34.34                  0.49                     0.35        3 3.52 -1.73    Guard             Guard
            Jamal Murray   25.40               0.43               3.97     7.13    0.88    0.39       2.28       35.16                  0.48                     0.40        3 3.47 -2.22    Guard             Guard
            Cooper Flagg   21.20               1.23               5.46     4.57    1.20    0.93       2.33       33.60                  0.46                     0.26        3 3.47 -0.03  Forward             Guard
         Dejounte Murray   16.71               0.29               5.07     6.36    1.64    0.21       3.36       27.58                  0.47                     0.27        3 3.41 -1.85    Guard             Guard
           Julius Randle   21.10               1.67               5.06     5.04    1.09    0.23       2.75       32.85                  0.47                     0.28        3 3.34 -0.70  Forward             Guard
          Stephon Castle   16.73               1.40               3.82     7.36    1.15    0.28       3.21       29.77                  0.48                     0.30        3 3.31 -1.36    Guard             Guard
            Jusuf Nurkic   10.90               2.59               7.78     4.78    1.27    0.54       2.46       26.22                  0.51                     0.31        3 3.27  1.02   Center             Guard
            Devin Booker   26.06               0.75               3.12     6.03    0.80    0.28       3.14       33.34                  0.46                     0.31        3 3.26 -1.94    Guard             Guard
             Bam Adebayo   20.04               2.04               7.99     3.18    1.15    0.65       1.67       32.26                  0.44                     0.30        3 3.23  0.75  Forward             Guard
          Keyonte George   23.61               0.43               3.26     6.15    1.07    0.26       3.07       32.88                  0.45                     0.35        3 3.23 -2.36    Guard             Guard
           Pascal Siakam   23.95               1.44               5.19     3.81    1.11    0.40       2.23       32.96                  0.48                     0.33        3 3.19 -0.55  Forward             Guard
            Ryan Rollins   17.31               0.73               3.84     5.59    1.49    0.42       2.72       31.89                  0.47                     0.40        3 3.13 -1.87    Guard             Guard
