OUT-OF-POSITION PLAYERS
================================================================================

Total players: 194

              playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster   PC1   PC2 position expected_position
            Nikola Jokic   27.75               2.94              10.00    10.88    1.44    0.81       3.80       34.92                  0.59                     0.39        3  7.95  0.05   Center             Guard
           Jalen Johnson   22.51               1.40               8.88     7.86    1.24    0.43       3.39       34.95                  0.49                     0.33        3  5.56 -0.90  Forward             Guard
       Victor Wembanyama   25.00               2.03               9.47     3.11    1.03    3.08       2.42       28.93                  0.51                     0.34        2  5.43  3.48  Forward            Center
   Giannis Antetokounmpo   27.58               2.72               7.06     5.44    0.94    0.67       3.19       28.69                  0.61                     0.23        3  4.96  1.26  Forward             Guard
          Alperen Sengun   20.36               2.99               5.90     6.18    1.18    1.07       3.15       33.09                  0.52                     0.20        3  4.77  1.37   Center             Guard
             Deni Avdija   24.20               1.14               5.75     6.65    0.78    0.63       3.85       33.12                  0.45                     0.29        3  4.43 -1.05  Forward             Guard
            LeBron James   20.98               0.73               5.37     7.22    1.17    0.59       2.97       33.23                  0.52                     0.32        3  4.15 -1.23  Forward             Guard
            Kevin Durant   25.97               0.53               4.94     4.77    0.79    0.91       3.15       36.22                  0.53                     0.42        3  4.14 -1.13  Forward             Guard
           Anthony Davis   20.35               3.10               7.95     2.80    1.10    1.65       2.05       31.09                  0.49                     0.17        2  4.02  3.18  Forward            Center
             Joel Embiid   26.87               1.97               5.74     3.95    0.55    1.21       2.87       31.45                  0.49                     0.37        3  3.93  0.60  Forward             Guard
          Paolo Banchero   22.20               1.14               7.23     5.10    0.72    0.56       3.04       34.52                  0.45                     0.30        3  3.91 -0.46  Forward             Guard
      Karl-Anthony Towns   20.05               3.11               8.75     3.01    0.87    0.53       2.49       30.77                  0.50                     0.36        3  3.88  1.40  Forward             Guard
           Kawhi Leonard   27.89               1.09               5.26     3.60    1.88    0.42       2.05       31.87                  0.51                     0.38        3  3.88 -1.16  Forward             Guard
        Domantas Sabonis   15.84               3.37               8.00     4.11    0.95    0.21       2.68       29.44                  0.56                     0.14        2  3.59  2.10  Forward            Center
            Cooper Flagg   21.20               1.23               5.46     4.57    1.20    0.93       2.33       33.60                  0.46                     0.26        3  3.47 -0.03  Forward             Guard
           Julius Randle   21.10               1.67               5.06     5.04    1.09    0.23       2.75       32.85                  0.47                     0.28        3  3.34 -0.70  Forward             Guard
            Jusuf Nurkic   10.90               2.59               7.78     4.78    1.27    0.54       2.46       26.22                  0.51                     0.31        3  3.27  1.02   Center             Guard
             Bam Adebayo   20.04               2.04               7.99     3.18    1.15    0.65       1.67       32.26                  0.44                     0.30        3  3.23  0.75  Forward             Guard
           Pascal Siakam   23.95               1.44               5.19     3.81    1.11    0.40       2.23       32.96                  0.48                     0.33        3  3.19 -0.55  Forward             Guard
            Julian Reese   11.67               4.42               6.75     2.00    1.25    0.67       2.67       31.73                  0.47                     0.00        2  3.05  3.51  Forward            Center
      Michael Porter Jr.   24.21               1.33               5.73     3.04    1.06    0.25       2.35       32.28                  0.46                     0.36        3  3.01 -0.80  Forward             Guard
         Trey Murphy III   21.52               0.95               4.76     3.79    1.50    0.36       1.82       35.25                  0.47                     0.37        3  3.01 -1.22  Forward             Guard
          Brandon Ingram   21.45               0.82               4.72     3.71    0.76    0.71       2.45       33.65                  0.48                     0.36        3  2.82 -0.69  Forward             Guard
         Lauri Markkanen   26.74               2.00               4.88     2.12    1.00    0.50       1.50       34.13                  0.48                     0.37        3  2.77  0.03  Forward             Guard
           Chet Holmgren   17.12               1.88               7.03     1.67    0.62    1.90       1.55       28.76                  0.54                     0.32        2  2.74  2.69  Forward            Center
        Jimmy Butler III   20.00               2.32               3.24     4.87    1.45    0.21       1.58       30.86                  0.52                     0.31        3  2.66 -0.30  Forward             Guard
       Jaren Jackson Jr.   19.40               0.88               4.79     1.96    1.10    1.44       2.23       30.12                  0.48                     0.34        3  2.64  0.50  Forward             Guard
          Onyeka Okongwu   15.18               1.89               5.70     3.12    1.11    1.07       1.72       30.82                  0.48                     0.34        3  2.60  0.87  Forward             Guard
          Brandon Miller   20.19               1.08               3.86     3.36    1.02    0.67       2.50       30.13                  0.44                     0.38        3  2.44 -0.88  Forward             Guard
             Paul George   17.50               0.56               4.75     3.64    1.72    0.44       1.75       30.80                  0.42                     0.37        3  2.41 -1.43  Forward             Guard
          Kyshawn George   14.79               0.90               4.21     4.46    1.00    0.90       2.60       28.79                  0.44                     0.35        3  2.35 -0.63  Forward             Guard
         Zion Williamson   21.00               2.02               3.68     3.21    0.97    0.55       2.03       29.49                  0.60                     0.02        2  2.34  1.68  Forward            Center
           Matas Buzelis   16.26               1.00               4.82     2.05    0.71    1.51       2.06       28.98                  0.46                     0.34        0  2.01  0.84  Forward             Guard
      Isaiah Hartenstein    9.19               3.17               6.26     3.53    1.02    0.77       1.74       23.99                  0.57                     0.00        2  2.01  3.34  Forward            Center
            Franz Wagner   20.58               1.27               3.97     3.39    0.94    0.33       1.73       29.88                  0.49                     0.33        3  1.97 -0.55  Forward             Guard
         Jaden McDaniels   14.85               1.04               3.21     2.73    1.11    1.00       1.79       31.53                  0.51                     0.41        0  1.95 -0.21  Forward             Guard
          Ausar Thompson    9.92               2.07               3.67     3.11    2.01    0.94       1.51       25.81                  0.53                     0.05        2  1.92  1.80    Guard            Center
        Jabari Smith Jr.   15.78               1.40               5.47     1.86    0.73    0.92       1.36       34.95                  0.46                     0.37        0  1.91  0.56  Forward             Guard
          Nikola Vucevic   15.08               1.95               6.44     3.33    0.61    0.64       1.33       28.22                  0.48                     0.37        0  1.90  0.78   Center             Guard
         P.J. Washington   14.16               1.50               5.54     1.75    0.98    1.07       1.68       30.80                  0.44                     0.29        0  1.89  0.96  Forward             Guard
          Andrew Wiggins   15.54               1.70               3.18     2.69    1.12    1.03       1.54       30.19                  0.48                     0.40        0  1.85  0.24  Forward             Guard
          Draymond Green    8.38               0.81               4.71     5.53    0.90    0.62       2.66       27.28                  0.42                     0.30        3  1.85 -0.76  Forward             Guard
           Keegan Murray   13.96               1.43               4.30     1.65    1.04    1.57       1.17       34.25                  0.39                     0.26        0  1.64  1.25  Forward             Guard
          Toumani Camara   13.40               1.57               3.58     2.46    1.16    0.43       1.78       33.11                  0.44                     0.36        0  1.61 -0.44  Forward             Guard
        Andersson Garcia    5.20               3.40               5.00     2.80    1.60    0.80       1.40       33.69                  0.32                     0.03        2  1.57  2.16  Forward            Center
           Miles Bridges   17.20               0.99               4.92     3.21    0.61    0.45       1.41       30.89                  0.46                     0.30        0  1.48 -0.18  Forward             Guard
            Santi Aldama   14.00               1.56               5.12     2.93    0.86    0.72       1.28       27.68                  0.47                     0.31        0  1.46  0.58  Forward             Guard
                Naz Reid   13.58               1.17               5.03     2.21    0.99    1.01       1.64       25.88                  0.44                     0.33        0  1.45  0.50  Forward             Guard
      Wendell Carter Jr.   11.94               2.08               5.31     1.97    0.78    0.61       1.27       29.10                  0.52                     0.30        0  1.37  1.26  Forward             Guard
           Naji Marshall   15.24               0.88               3.82     3.26    1.11    0.08       1.61       29.33                  0.50                     0.24        0  1.33 -0.59  Forward             Guard
            Jerami Grant   18.60               0.96               2.51     2.14    0.74    0.63       2.09       29.54                  0.45                     0.37        0  1.30 -0.68  Forward             Guard
         Kyle Filipowski   11.42               1.87               5.30     2.57    0.95    0.51       1.62       23.20                  0.49                     0.33        0  1.26  0.72   Center             Guard
          Moussa Diabate    7.93               3.74               4.96     1.92    0.78    0.97       1.01       25.82                  0.63                     0.01        2  1.24  4.38  Forward            Center
